time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-13T01:18:48.040Z,-6.1746,129.2527,211.89,4.7,mb,,78,2.711,0.68,us,us7000359g,2019-04-13T02:21:22.040Z,"295km SSE of Saparua, Indonesia",earthquake,10.2,4.5,0.138,16,reviewed,us,us
2019-04-13T01:12:30.510Z,51.2762,159.0724,35,4.6,mb,,165,1.769,0.82,us,us7000359e,2019-04-13T02:06:06.040Z,"179km E of Ozernovskiy, Russia",earthquake,10.5,2,0.078,49,reviewed,us,us
2019-04-13T00:57:13.290Z,18.67,-68.1526,92,2.82,md,6,231,0.277,0.2,pr,pr2019103001,2019-04-13T21:25:00.040Z,"40km NNE of Punta Cana, Dominican Republic",earthquake,4.68,1.39,0.53,5,reviewed,pr,pr
2019-04-13T00:39:16.780Z,32.2146683,-115.2716675,12.42,3.18,ml,32,101,0.1877,0.31,ci,ci38544608,2019-04-13T03:49:00.040Z,"10km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.67,1.91,0.248,23,automatic,ci,ci
2019-04-12T23:16:13.075Z,12.5083,-89.2001,41.12,4.3,mb,,182,1.885,1.03,us,us7000358b,2019-04-12T23:39:30.040Z,"109km S of La Libertad, El Salvador",earthquake,7.7,13.1,0.153,12,reviewed,us,us
2019-04-12T23:14:01.512Z,7.2825,94.3985,10,4.9,mb,,59,3.253,0.94,us,us7000358c,2019-04-12T23:32:11.040Z,"141km ESE of Mohean, India",earthquake,7,1.9,0.075,56,reviewed,us,us
2019-04-12T22:59:27.293Z,-1.9204,122.6147,9.69,4.8,mb,,37,0.886,1.16,us,us70003582,2019-04-12T23:15:54.040Z,"108km S of Luwuk, Indonesia",earthquake,5.4,0.4,0.095,34,reviewed,us,us
2019-04-12T22:39:31.796Z,-1.8008,122.658,12.43,4.3,mb,,85,0.762,0.52,us,us7000357x,2019-04-12T22:56:34.040Z,"94km S of Luwuk, Indonesia",earthquake,4.6,4,0.178,9,reviewed,us,us
2019-04-12T22:02:10.613Z,-7.2356,129.3922,147.74,4.4,mb,,78,2.03,1.06,us,us7000357h,2019-04-12T22:27:15.040Z,"226km WNW of Saumlaki, Indonesia",earthquake,5.6,10.3,0.13,17,reviewed,us,us
2019-04-12T21:58:03.830Z,38.8111667,-122.8201667,1.71,3.08,ml,70,22,0.007405,0.07,nc,nc73164840,2019-04-13T19:04:22.485Z,"7km NW of The Geysers, CA",earthquake,0.09,0.13,0.114,29,reviewed,nc,nc
